log_q_id,qid,log_q_ts,uid,gid,vid,cid,dqid,parent_dqid,q_detail,ae_seq_id,q_s_id,g_s_id,tid,cd_id,quest_seqid,qaction_seqid,session_seqid,sessionid,client_ts,foreign_game_id,multiplayer_seqid,quest_hash
11757,1,1622355430,44F924F9-7413-F621-F8AA-017B1667D4FB,202107,1,5,80506F9A-4E9A-AF98-6C04-2C9F6682BF15,NULL,"{""score"":0}",NULL,1,1,1,0,1,1,4,50097BDA-0E39-94D2-A95D-0CDD1EF07278,1622355430235,0,0,NULL
11758,1,1622355555,44F924F9-7413-F621-F8AA-017B1667D4FB,202107,1,5,80506F9A-4E9A-AF98-6C04-2C9F6682BF15,NULL,"{""deathCount"":0,""score"":1,""time"":124.51666666666,""preyCollected"":1,""predCollected"":0,""preyDeaths"":0}",NULL,0,1,1,0,0,84,87,50097BDA-0E39-94D2-A95D-0CDD1EF07278,1622355554737,0,0,NULL
11759,2,1622355558,44F924F9-7413-F621-F8AA-017B1667D4FB,202107,1,5,F0601D24-A8BC-20BD-2F49-91B33670F8AD,NULL,"{""score"":1}",NULL,1,1,1,0,2,1,89,50097BDA-0E39-94D2-A95D-0CDD1EF07278,1622355558650,0,0,NULL
11760,2,1622355663,44F924F9-7413-F621-F8AA-017B1667D4FB,202107,1,5,F0601D24-A8BC-20BD-2F49-91B33670F8AD,NULL,"{""deathCount"":0,""score"":19,""time"":104.65,""preyCollected"":17,""predCollected"":0,""preyDeaths"":0}",NULL,0,1,1,0,0,96,184,50097BDA-0E39-94D2-A95D-0CDD1EF07278,1622355663287,0,0,NULL
11761,3,1622355667,44F924F9-7413-F621-F8AA-017B1667D4FB,202107,1,5,2BC38AAA-5957-C445-07F8-66867B0A1012,NULL,"{""score"":19}",NULL,1,1,1,0,3,1,186,50097BDA-0E39-94D2-A95D-0CDD1EF07278,1622355667184,0,0,NULL
11762,3,1622355830,44F924F9-7413-F621-F8AA-017B1667D4FB,202107,1,5,2BC38AAA-5957-C445-07F8-66867B0A1012,NULL,"{""deathCount"":0,""score"":38,""time"":163.53333333336,""preyCollected"":20,""predCollected"":1,""preyDeaths"":2}",NULL,0,1,1,0,0,152,337,50097BDA-0E39-94D2-A95D-0CDD1EF07278,1622355830701,0,0,NULL
11763,4,1622355833,44F924F9-7413-F621-F8AA-017B1667D4FB,202107,1,5,723EC086-03BC-38BA-CCC2-53218E73655B,NULL,"{""score"":51}",NULL,1,1,1,0,4,1,339,50097BDA-0E39-94D2-A95D-0CDD1EF07278,1622355833715,0,0,NULL
11764,4,1622355920,44F924F9-7413-F621-F8AA-017B1667D4FB,202107,1,5,723EC086-03BC-38BA-CCC2-53218E73655B,NULL,"{""deathCount"":1,""score"":70,""time"":86.03333333333,""preyCollected"":12,""predCollected"":1,""preyDeaths"":3}",NULL,0,1,1,0,0,84,422,50097BDA-0E39-94D2-A95D-0CDD1EF07278,1622355919735,0,0,NULL
11765,5,1622355923,44F924F9-7413-F621-F8AA-017B1667D4FB,202107,1,5,1FDCE568-4101-1465-716A-B41649DD4482,NULL,"{""score"":71}",NULL,1,1,1,0,5,1,424,50097BDA-0E39-94D2-A95D-0CDD1EF07278,1622355923633,0,0,NULL
11766,5,1622356052,44F924F9-7413-F621-F8AA-017B1667D4FB,202107,1,5,1FDCE568-4101-1465-716A-B41649DD4482,NULL,"{""deathCount"":1,""score"":121,""time"":128.68333333333,""preyCollected"":28,""predCollected"":1,""preyDeaths"":9}",NULL,0,1,1,0,0,163,586,50097BDA-0E39-94D2-A95D-0CDD1EF07278,1622356052290,0,0,NULL
